Rank,Start,End,Type,Name
1,16696.003199,16696.020523,COMM,MetaBcast
1,16696.021188,16696.030111,COMM,ScatterData
1,16696.030115,16696.070010,COMP,RebuildData
1,16696.070011,16696.083518,COMM,BcastCentr
1,16696.083518,16696.087265,COMP,CalcLocal
1,16696.087267,16696.185929,COMM,AllReduce
1,16696.185929,16696.185931,COMP,Update
1,16696.185931,16696.185941,COMM,BcastCentr
1,16696.185941,16696.189700,COMP,CalcLocal
1,16696.189701,16696.191032,COMM,AllReduce
1,16696.191032,16696.191032,COMP,Update
1,16696.191033,16696.191039,COMM,BcastCentr
1,16696.191039,16696.194549,COMP,CalcLocal
1,16696.194550,16696.196504,COMM,AllReduce
1,16696.196504,16696.196505,COMP,Update
1,16696.196506,16696.196511,COMM,BcastCentr
1,16696.196512,16696.200174,COMP,CalcLocal
1,16696.200175,16696.201694,COMM,AllReduce
1,16696.201694,16696.201695,COMP,Update
1,16696.201695,16696.201699,COMM,BcastCentr
1,16696.201699,16696.205189,COMP,CalcLocal
1,16696.205189,16696.207108,COMM,AllReduce
1,16696.207109,16696.207109,COMP,Update
1,16696.207110,16696.207115,COMM,BcastCentr
1,16696.207115,16696.210552,COMP,CalcLocal
1,16696.210553,16696.212707,COMM,AllReduce
1,16696.212707,16696.212708,COMP,Update
1,16696.212708,16696.212712,COMM,BcastCentr
1,16696.212712,16696.216233,COMP,CalcLocal
1,16696.216233,16696.217921,COMM,AllReduce
1,16696.217921,16696.217922,COMP,Update
1,16696.217922,16696.217925,COMM,BcastCentr
1,16696.217925,16696.221370,COMP,CalcLocal
1,16696.221376,16696.223113,COMM,AllReduce
1,16696.223113,16696.223114,COMP,Update
1,16696.223114,16696.223118,COMM,BcastCentr
1,16696.223118,16696.226582,COMP,CalcLocal
1,16696.226583,16696.228501,COMM,AllReduce
1,16696.228501,16696.228502,COMP,Update
1,16696.228503,16696.228504,COMM,BcastCentr
1,16696.228505,16696.232037,COMP,CalcLocal
1,16696.232037,16696.233825,COMM,AllReduce
1,16696.233825,16696.233826,COMP,Update
1,16696.233826,16696.233830,COMM,BcastCentr
1,16696.233830,16696.237298,COMP,CalcLocal
1,16696.237298,16696.239056,COMM,AllReduce
1,16696.239056,16696.239056,COMP,Update
1,16696.239057,16696.239059,COMM,BcastCentr
1,16696.239060,16696.242446,COMP,CalcLocal
1,16696.242446,16696.244425,COMM,AllReduce
1,16696.244425,16696.244426,COMP,Update
1,16696.244426,16696.244429,COMM,BcastCentr
1,16696.244429,16696.247741,COMP,CalcLocal
1,16696.247741,16696.249333,COMM,AllReduce
1,16696.249333,16696.249334,COMP,Update
1,16696.249334,16696.249341,COMM,BcastCentr
1,16696.249342,16696.252655,COMP,CalcLocal
1,16696.252655,16696.254600,COMM,AllReduce
1,16696.254600,16696.254600,COMP,Update
1,16696.254600,16696.254608,COMM,BcastCentr
1,16696.254608,16696.258090,COMP,CalcLocal
1,16696.258090,16696.260055,COMM,AllReduce
1,16696.260056,16696.260056,COMP,Update
1,16696.260057,16696.260059,COMM,BcastCentr
1,16696.260059,16696.263532,COMP,CalcLocal
1,16696.263538,16696.265473,COMM,AllReduce
1,16696.265473,16696.265473,COMP,Update
1,16696.265474,16696.265477,COMM,BcastCentr
1,16696.265477,16696.268876,COMP,CalcLocal
1,16696.268876,16696.270685,COMM,AllReduce
1,16696.270685,16696.270686,COMP,Update
1,16696.270686,16696.270689,COMM,BcastCentr
1,16696.270689,16696.274204,COMP,CalcLocal
1,16696.274204,16696.275932,COMM,AllReduce
1,16696.275932,16696.275933,COMP,Update
1,16696.275934,16696.275949,COMM,BcastCentr
1,16696.275949,16696.279448,COMP,CalcLocal
1,16696.279448,16696.281188,COMM,AllReduce
1,16696.281188,16696.281188,COMP,Update
1,16696.281189,16696.281190,COMM,BcastCentr
1,16696.281191,16696.284621,COMP,CalcLocal
1,16696.284621,16696.286204,COMM,AllReduce
1,16696.286204,16696.286205,COMP,Update
1,16696.286205,16696.286212,COMM,BcastCentr
1,16696.286212,16696.289559,COMP,CalcLocal
1,16696.289559,16696.291806,COMM,AllReduce
1,16696.291806,16696.291806,COMP,Update
1,16696.291807,16696.291809,COMM,BcastCentr
1,16696.291809,16696.295322,COMP,CalcLocal
1,16696.295322,16696.298464,COMM,AllReduce
1,16696.298465,16696.298465,COMP,Update
